Date,Open,High,Low,Close
08/10/2019,5.845,5.845,5.845,5.81125
09/10/2019,5.8325,5.8625,5.8325,5.8275
10/10/2019,5.8425,5.8675,5.83,5.87375
11/10/2019,5.8975,5.905,5.8625,5.87125
14/10/2019,5.85,5.8575,5.85,5.835
15/10/2019,5.875,5.875,5.81,5.80875
16/10/2019,5.8025,5.8075,5.7925,5.80875
17/10/2019,5.8275,5.8275,5.8275,5.83375
18/10/2019,5.845,5.87,5.845,5.86875
21/10/2019,5.855,5.87,5.8525,5.86125
22/10/2019,5.8725,5.9125,5.8675,5.90125
23/10/2019,5.8875,5.8925,5.8875,5.89625
24/10/2019,5.8875,5.935,5.8875,5.935
25/10/2019,5.925,5.93,5.8775,5.9025
28/10/2019,5.9,5.9,5.89,5.8625
29/10/2019,5.875,5.875,5.875,5.89125
30/10/2019,5.875,5.875,5.875,5.89875
31/10/2019,5.87,5.9025,5.87,5.87
01/11/2019,5.8925,5.9275,5.89,5.88
04/11/2019,5.87625,5.87625,5.87625,5.87625
05/11/2019,5.8425,5.8575,5.8425,5.84125
06/11/2019,5.855,5.885,5.8475,5.88125
07/11/2019,5.8975,5.8975,5.8675,5.86125
08/11/2019,5.8625,5.8625,5.86,5.84625
11/11/2019,5.865,5.865,5.865,5.84875
12/11/2019,5.855,5.86,5.8525,5.8475
13/11/2019,5.8475,5.89,5.8375,5.90125
14/11/2019,5.9175,5.9425,5.9175,5.91375
15/11/2019,5.9125,5.9125,5.9125,5.90125
18/11/2019,5.96625,5.96625,5.96625,5.96625
19/11/2019,5.96,5.96265,5.96,5.92875
20/11/2019,5.93,5.9375,5.912,5.93625
21/11/2019,5.94,5.9525,5.9125,5.91375
22/11/2019,5.92,5.9375,5.8725,5.89125
25/11/2019,6.0325,6.0325,5.885,5.89125
26/11/2019,5.9025,5.9025,5.89,5.94375
27/11/2019,5.965,5.965,5.965,5.95875
28/11/2019,5.96125,5.96125,5.96125,5.96125
29/11/2019,5.96375,5.96375,5.96375,5.96375
02/12/2019,5.975,5.975,5.9725,5.94625
03/12/2019,5.93875,5.93875,5.93875,5.93875
04/12/2019,5.985,5.985,5.985,5.98875
05/12/2019,5.97875,5.97875,5.97875,5.97875
06/12/2019,5.9925,5.9925,5.9925,6.04125
09/12/2019,6.04,6.04,6.02778,6.03125
10/12/2019,6.02625,6.02625,6.02625,6.02625
11/12/2019,6.01875,6.01875,6.01875,6.01875
12/12/2019,6.0475,6.0475,6.0475,6.03125
13/12/2019,6,6.0025,5.9925,6.00875
16/12/2019,6.05625,6.05625,6.05625,6.05625
17/12/2019,6.0475,6.05,6.0425,6.04625
18/12/2019,6.0625,6.0625,6.0625,6.04375
19/12/2019,6.0225,6.0225,6.0225,6.06625
20/12/2019,6.1075,6.1075,6.0856,6.12125
23/12/2019,6.1325,6.135,6.12,6.11
24/12/2019,6.1075,6.1075,6.1075,6.09375
27/12/2019,6.12,6.12,6.12,6.1125
30/12/2019,6.093,6.093,6.093,6.09625
31/12/2019,6.0925,6.0925,6.0925,6.0925
02/01/2020,6.1075,6.1075,6.0825,6.06375
03/01/2020,6.005,6.005,6.005,6.03625
06/01/2020,6.0275,6.03,6.0275,6.02625
07/01/2020,6.06,6.06,6.0325,6.03375
08/01/2020,6.025,6.0275,6.025,6.03
09/01/2020,6.0875,6.0875,6.0875,6.06125
10/01/2020,6.0925,6.0975,6.0875,6.0875
13/01/2020,6.1,6.1075,6.0725,6.09375
14/01/2020,6.1175,6.1175,6.1075,6.11125
15/01/2020,6.15625,6.15625,6.15625,6.15625
